name,description,price,stock,weight,categories
"Automatic Chicken Feeder","Heavy-duty automatic chicken feeder with adjustable height and 12kg capacity. Perfect for medium to large flocks.",49.99,50,2.5,"equipment-supplies,feeders-waterers"
"Layer Pellets 20kg","Premium layer pellets with 16% protein, calcium, and essential vitamins for optimal egg production.",29.99,100,20,"feed-nutrition,layer-feed"
"Broiler Starter Feed 25kg","High-protein starter feed (22% protein) for broiler chicks from day 1 to 21.",34.99,75,25,"feed-nutrition,broiler-feed"
"Chicken Coop 6x4","Spacious wooden chicken coop with nesting boxes, roosting bars, and predator-proof design.",299.99,10,45,"equipment-supplies,coops-housing"
"Digital Incubator","Digital egg incubator with automatic turning, temperature control, and humidity monitoring.",89.99,15,3.5,"equipment-supplies,incubators-brooders"
"Poultry First Aid Kit","Complete first aid kit for chickens including antiseptic, bandages, and essential medications.",39.99,30,1.5,"health-medication,first-aid"
"Vitamin D3 Supplement","Liquid vitamin D3 supplement for improved calcium absorption and egg shell quality.",24.99,50,0.5,"health-medication,vitamins"
"Cleaning Disinfectant","Poultry-safe disinfectant concentrate for coop cleaning and disease prevention.",19.99,100,2,"equipment-supplies,cleaning-supplies"
"Automatic Waterer","5-gallon automatic waterer with anti-freeze design and easy cleaning.",39.99,40,3,"equipment-supplies,feeders-waterers"
"Layer Crumbles 20kg","Layer crumbles with 16% protein and balanced nutrition for optimal egg production.",29.99,100,20,"feed-nutrition,layer-feed" 
